Dimension,Precision PCA,Train Time PCA,Predict Time PCA,Precision LSA,Train Time LSA,Predict Time LSA,Precision DAE,Train Time DAE,Predict Time DAE,Precision VAE,Train Time VAE,Predict Time VAE
1,27.98,2.8195440769195557,0.17703890800476074,17.37,2.3863701820373535,0.14300918579101562,56.48,131.37805604934692,0.25809288024902344,65.7,128.47657108306885,0.26470208168029785
2,44.22,2.6109800338745117,0.19179201126098633,31.759999999999998,2.215735912322998,0.18817687034606934,80.55,116.68961596488953,0.26194119453430176,81.83,114.3320209980011,0.2958660125732422
3,50.449999999999996,2.884207010269165,0.17505788803100586,50.73,2.387723207473755,0.1478710174560547,84.97,118.8023841381073,0.23315000534057617,87.94,122.46084380149841,0.2508878707885742
4,64.85,2.9222919940948486,0.27736592292785645,59.099999999999994,2.4847731590270996,0.26481199264526367,90.3,109.5115270614624,0.22544503211975098,93.53,143.50478100776672,0.34718990325927734
5,75.99000000000001,3.115851879119873,0.37131404876708984,75.17,2.664842128753662,0.23984503746032715,93.31,127.98338389396667,0.32729601860046387,93.21000000000001,95.81128406524658,0.22918009757995605
6,83.96000000000001,2.8052470684051514,0.3406379222869873,83.14,2.3649940490722656,0.4809911251068115,94.74000000000001,137.53282189369202,0.4452240467071533,95.65,144.45825219154358,0.32277917861938477
7,87.66000000000001,3.079177141189575,0.47432899475097656,87.32,2.6594560146331787,0.5851058959960938,95.08,135.23605298995972,0.6419451236724854,95.09,124.67722511291504,0.5409550666809082
8,90.29,3.0755441188812256,0.746527910232544,89.23,2.563476085662842,0.7877061367034912,95.67,162.52567887306213,0.8678040504455566,95.45,121.5049889087677,0.8543660640716553
9,91.62,3.3029630184173584,0.9650521278381348,91.52,2.7534070014953613,1.0806999206542969,95.91,125.11618208885193,1.0336921215057373,95.75,165.783371925354,0.8646750450134277
10,92.89,3.0915021896362305,1.1712911128997803,92.60000000000001,2.6150059700012207,1.1964950561523438,96.6,142.3941559791565,0.8426499366760254,95.86,131.5272011756897,1.0353350639343262
11,93.77,3.3513681888580322,0.9557290077209473,93.65,2.6974780559539795,1.3712091445922852,96.72,117.92717599868774,1.5727930068969727,96.12,154.25187611579895,1.6504240036010742
12,94.86,3.2946410179138184,1.4593610763549805,94.8,2.7716968059539795,1.7603521347045898,96.7,104.44496297836304,1.8409838676452637,95.82000000000001,121.28974318504333,1.5264978408813477
13,95.37,3.4161579608917236,1.8470289707183838,95.36,2.9584858417510986,1.8443539142608643,96.95,118.3824200630188,2.220461845397949,96.41,138.06079602241516,3.0545060634613037
14,95.6,3.405967950820923,2.1728460788726807,95.46,2.7499289512634277,2.386141061782837,97.14,137.00360798835754,2.8767809867858887,96.5,173.6815869808197,4.056351900100708
15,95.82000000000001,3.5261170864105225,2.574676990509033,95.76,2.933924913406372,2.3999109268188477,97.26,104.2539279460907,2.9247820377349854,96.43,152.43919610977173,2.850970983505249
16,96.13000000000001,3.5114638805389404,2.69919490814209,96.23,2.910308837890625,2.983909845352173,97.02,121.62708401679993,3.2424769401550293,96.93,129.47721695899963,4.279114007949829
17,96.49,3.7815821170806885,2.8593637943267822,96.49,3.059346914291382,2.172318935394287,97.24000000000001,116.77554202079773,3.85605788230896,96.56,158.17088413238525,4.357672929763794
18,96.55,3.5753350257873535,3.1808109283447266,96.5,2.9601988792419434,3.4767160415649414,96.89,121.91458106040955,4.137660980224609,96.6,166.09940695762634,4.153142929077148
19,96.73,3.868772029876709,2.655704975128174,96.67,3.161858081817627,3.8226301670074463,97.18,105.97618794441223,4.251490831375122,96.33,163.11710000038147,4.538671970367432
20,96.96000000000001,3.703559160232544,2.7934038639068604,96.99,3.1424899101257324,2.7521679401397705,97.26,89.3468611240387,4.022757053375244,96.7,141.94280195236206,6.4670679569244385
